Epoch	 Loss	 AccuracyTrain	 AccuracyVal
    0 	 46347714560.0 	 3817.0	 4183.0
    1 	 44897435648.0 	 3758.7	 4117.9
    2 	 43490775040.0 	 3701.2	 4053.4
    3 	 42127695872.0 	 3644.4	 3989.6
    4 	 40808042496.0 	 3588.8	 3926.9
    5 	 39530631168.0 	 3534.5	 3865.2
    6 	 38294822912.0 	 3481.0	 3804.8
    7 	 37100474368.0 	 3428.4	 3745.9
    8 	 35946508288.0 	 3376.7	 3687.9
    9 	 34832306176.0 	 3325.8	 3630.8
   10 	 33757280256.0 	 3275.9	 3574.5
   11 	 32720588800.0 	 3226.9	 3519.4
   12 	 31721179136.0 	 3179.1	 3465.5
   13 	 30758084608.0 	 3132.1	 3412.8
   14 	 29830359040.0 	 3086.1	 3361.0
   15 	 28937035776.0 	 3041.0	 3310.2
   16 	 28077172736.0 	 2996.9	 3260.6
   17 	 27247173632.0 	 2953.6	 3211.8
   18 	 26449317888.0 	 2911.3	 3164.0
   19 	 25681950720.0 	 2869.9	 3117.0
   20 	 24943765504.0 	 2829.4	 3071.0
   21 	 24233807872.0 	 2789.7	 3025.9
   22 	 23551141888.0 	 2750.9	 2981.7
   23 	 22894743552.0 	 2713.1	 2938.6
   24 	 22263640064.0 	 2676.7	 2897.3
   25 	 21656836096.0 	 2641.1	 2856.9
   26 	 21073319936.0 	 2606.2	 2817.3
   27 	 20512137216.0 	 2572.2	 2778.6
   28 	 19972454400.0 	 2538.9	 2740.9
   29 	 19453376512.0 	 2506.5	 2704.2
   30 	 18954055680.0 	 2474.7	 2668.2
   31 	 18473639936.0 	 2443.9	 2633.5
   32 	 18011322368.0 	 2413.8	 2599.7
   33 	 17566283776.0 	 2385.0	 2566.9
   34 	 17137747968.0 	 2357.3	 2534.8
   35 	 16724954112.0 	 2330.3	 2503.6
   36 	 16327170048.0 	 2304.1	 2473.2
   37 	 15943719936.0 	 2278.4	 2443.6
   38 	 15574005760.0 	 2253.4	 2414.6
   39 	 15217256448.0 	 2228.8	 2386.2
   40 	 14872883200.0 	 2204.8	 2358.6
   41 	 14540419072.0 	 2181.4	 2331.8
   42 	 14219650048.0 	 2158.4	 2305.5
   43 	 13910946816.0 	 2136.0	 2279.9
   44 	 13612609536.0 	 2114.2	 2254.8
   45 	 13324115968.0 	 2092.8	 2230.3
   46 	 13045024768.0 	 2071.9	 2206.3
   47 	 12774910976.0 	 2051.4	 2182.7
   48 	 12513295360.0 	 2031.3	 2159.7
   49 	 12259871744.0 	 2011.6	 2137.1
   50 	 12014295040.0 	 1992.3	 2114.9
   51 	 11776249856.0 	 1973.3	 2093.2
   52 	 11545444352.0 	 1954.7	 2072.2
   53 	 11321552896.0 	 1936.5	 2051.7
   54 	 11104263168.0 	 1918.9	 2031.6
   55 	 10893120512.0 	 1901.6	 2011.8
   56 	 10687825920.0 	 1884.5	 1992.5
   57 	 10488162304.0 	 1867.7	 1973.4
   58 	 10293898240.0 	 1851.2	 1954.8
   59 	 10104950784.0 	 1835.0	 1936.4
   60 	 9920228352.0 	 1818.9	 1918.2
   61 	 9739797504.0 	 1803.1	 1900.3
   62 	 9563979776.0 	 1787.5	 1882.7
   63 	 9392680960.0 	 1772.1	 1865.3
   64 	 9225754624.0 	 1757.0	 1848.3
   65 	 9063093248.0 	 1742.1	 1831.5
   66 	 8904582144.0 	 1727.5	 1815.0
   67 	 8750090240.0 	 1713.0	 1798.7
   68 	 8599502848.0 	 1698.8	 1782.7
   69 	 8452691456.0 	 1684.8	 1767.0
   70 	 8309533696.0 	 1671.0	 1751.6
   71 	 8169926656.0 	 1657.5	 1736.3
   72 	 8033759232.0 	 1644.2	 1721.4
   73 	 7900912128.0 	 1631.1	 1706.6
   74 	 7771316736.0 	 1618.2	 1692.1
   75 	 7644851200.0 	 1605.4	 1677.8
   76 	 7521403904.0 	 1592.9	 1663.8
   77 	 7400875008.0 	 1580.5	 1650.0
   78 	 7283179520.0 	 1568.3	 1636.5
