Epoch	 Loss	 AccuracyTrain	 AccuracyVal
    0 	 1404651776.0 	 705.8	 733.7
    1 	 1352035072.0 	 693.6	 720.3
    2 	 1302007424.0 	 681.9	 707.7
    3 	 1254160256.0 	 670.2	 695.7
    4 	 1208351360.0 	 658.7	 683.9
    5 	 1164472064.0 	 647.3	 672.6
    6 	 1122460160.0 	 636.2	 661.6
    7 	 1082228224.0 	 625.4	 650.8
    8 	 1043727616.0 	 614.8	 640.2
    9 	 1007017344.0 	 604.4	 629.9
   10 	 971927616.0 	 594.2	 619.7
   11 	 938351296.0 	 584.2	 609.8
   12 	 906218624.0 	 574.5	 600.1
   13 	 875478080.0 	 565.1	 590.7
   14 	 846077312.0 	 555.9	 581.5
   15 	 817961536.0 	 547.0	 572.4
   16 	 791073024.0 	 538.4	 563.8
   17 	 765350400.0 	 530.0	 555.5
   18 	 740734912.0 	 521.7	 547.4
   19 	 717176576.0 	 513.8	 539.8
   20 	 694626688.0 	 506.1	 532.3
   21 	 673040512.0 	 498.7	 525.1
   22 	 652362624.0 	 491.4	 518.0
   23 	 632563136.0 	 484.2	 511.0
   24 	 613604544.0 	 477.3	 504.1
   25 	 595443456.0 	 470.5	 497.4
   26 	 578041728.0 	 463.8	 490.8
   27 	 561350912.0 	 457.3	 484.2
   28 	 545240896.0 	 451.0	 477.8
   29 	 529609216.0 	 444.7	 471.3
   30 	 514590816.0 	 438.6	 465.0
   31 	 500156928.0 	 432.6	 458.8
   32 	 486281088.0 	 426.7	 452.6
   33 	 472948352.0 	 421.0	 446.5
   34 	 460130752.0 	 415.3	 440.6
   35 	 447808416.0 	 409.8	 434.8
   36 	 435965984.0 	 404.4	 429.1
   37 	 424582848.0 	 399.1	 423.5
   38 	 413636800.0 	 393.9	 418.1
   39 	 403105280.0 	 388.9	 412.7
   40 	 392962880.0 	 383.9	 407.5
   41 	 383198336.0 	 379.1	 402.3
   42 	 373792800.0 	 374.4	 397.3
   43 	 364728000.0 	 369.8	 392.4
   44 	 355994496.0 	 365.4	 387.6
   45 	 347579136.0 	 361.0	 382.8
   46 	 339463104.0 	 356.7	 378.2
   47 	 331634336.0 	 352.5	 373.6
   48 	 324080384.0 	 348.4	 369.2
   49 	 316793344.0 	 344.4	 364.8
   50 	 309755840.0 	 340.5	 360.6
   51 	 302948704.0 	 336.7	 356.4
   52 	 296368704.0 	 333.0	 352.3
   53 	 290004704.0 	 329.4	 348.3
   54 	 283851456.0 	 325.8	 344.4
   55 	 277897152.0 	 322.4	 340.6
   56 	 272134560.0 	 319.0	 336.8
   57 	 266555504.0 	 315.7	 333.1
   58 	 261151216.0 	 312.5	 329.5
   59 	 255914080.0 	 309.3	 325.9
   60 	 250837728.0 	 306.2	 322.4
   61 	 245918848.0 	 303.2	 319.0
   62 	 241148128.0 	 300.3	 315.6
   63 	 236519328.0 	 297.4	 312.3
   64 	 232027440.0 	 294.5	 309.1
   65 	 227667152.0 	 291.7	 305.9
   66 	 223433232.0 	 289.0	 302.8
   67 	 219320288.0 	 286.3	 299.8
   68 	 215323776.0 	 283.7	 296.8
   69 	 211439024.0 	 281.1	 293.9
   70 	 207661264.0 	 278.6	 291.1
   71 	 203987680.0 	 276.1	 288.3
   72 	 200413440.0 	 273.7	 285.5
   73 	 196934752.0 	 271.3	 282.8
   74 	 193548640.0 	 268.9	 280.2
   75 	 190252864.0 	 266.6	 277.6
   76 	 187043680.0 	 264.3	 275.1
   77 	 183918016.0 	 262.1	 272.5
   78 	 180872480.0 	 259.9	 270.1
   79 	 177904112.0 	 257.8	 267.7
   80 	 175010560.0 	 255.7	 265.3
   81 	 172188416.0 	 253.6	 262.9
   82 	 169435648.0 	 251.6	 260.6
