Epoch	 Loss	 AccuracyTrain	 AccuracyVal
    0 	 9113100.0  	  56.3	  54.4
    1 	 8742698.0  	  55.0	  52.9
    2 	 8400566.0  	  53.7	  51.6
    3 	 8082133.0  	  52.7	  50.4
    4 	 7782392.0  	  51.6	  49.2
    5 	 7497829.0  	  50.5	  48.0
    6 	 7225022.0  	  49.6	  46.9
    7 	 6964944.0  	  48.6	  45.8
    8 	 6716141.0  	  47.7	  44.8
    9 	 6478387.0  	  46.8	  43.8
   10 	 6252530.0  	  45.9	  42.8
   11 	 6036711.0  	  45.1	  41.9
   12 	 5830902.0  	  44.3	  41.1
   13 	 5634556.5  	  43.5	  40.3
   14 	 5446471.5  	  42.8	  39.5
   15 	 5266523.0  	  42.0	  38.8
   16 	 5094520.5  	  41.3	  38.0
   17 	 4929923.0  	  40.6	  37.3
   18 	 4772084.5  	  39.9	  36.7
   19 	 4621145.5  	  39.2	  36.1
   20 	 4476990.5  	  38.6	  35.5
   21 	 4339009.0  	  37.9	  34.8
   22 	 4206796.0  	  37.3	  34.2
   23 	 4080188.8  	  36.7	  33.7
   24 	 3958834.0  	  36.2	  33.1
   25 	 3842695.8  	  35.6	  32.6
   26 	 3731458.8  	  35.1	  32.1
   27 	 3624801.8  	  34.5	  31.6
   28 	 3522440.8  	  34.0	  31.1
   29 	 3424121.8  	  33.5	  30.6
   30 	 3329730.8  	  33.0	  30.2
   31 	 3239289.0  	  32.6	  29.7
   32 	 3152412.5  	  32.1	  29.3
   33 	 3068875.5  	  31.6	  28.9
   34 	 2988545.2  	  31.2	  28.5
   35 	 2911238.0  	  30.8	  28.1
   36 	 2836942.8  	  30.4	  27.7
   37 	 2765488.0  	  30.0	  27.3
   38 	 2696649.5  	  29.6	  26.9
   39 	 2630257.5  	  29.2	  26.6
   40 	 2566239.0  	  28.9	  26.2
   41 	 2504508.0  	  28.5	  25.9
   42 	 2444999.8  	  28.2	  25.5
   43 	 2387553.5  	  27.8	  25.2
   44 	 2332068.8  	  27.5	  24.9
   45 	 2278515.0  	  27.1	  24.6
   46 	 2226774.5  	  26.8	  24.3
   47 	 2176774.8  	  26.5	  24.0
   48 	 2128424.8  	  26.2	  23.7
   49 	 2081697.2  	  25.9	  23.4
   50 	 2036518.5  	  25.6	  23.1
   51 	 1992747.5  	  25.3	  22.9
   52 	 1950379.4  	  25.1	  22.6
   53 	 1909352.8  	  24.8	  22.4
   54 	 1869603.5  	  24.5	  22.1
   55 	 1831110.8  	  24.3	  21.9
   56 	 1793763.9  	  24.0	  21.7
   57 	 1757512.2  	  23.7	  21.4
   58 	 1722393.8  	  23.5	  21.2
   59 	 1688307.5  	  23.2	  21.0
   60 	 1655207.0  	  23.0	  20.8
   61 	 1623072.6  	  22.8	  20.5
   62 	 1591859.5  	  22.5	  20.3
   63 	 1561504.8  	  22.3	  20.1
   64 	 1532047.1  	  22.1	  19.9
   65 	 1503418.0  	  21.8	  19.7
   66 	 1475571.5  	  21.6	  19.5
   67 	 1448482.0  	  21.4	  19.3
   68 	 1422108.1  	  21.2	  19.1
   69 	 1396441.2  	  21.0	  19.0
   70 	 1371517.4  	  20.8	  18.8
   71 	 1347243.0  	  20.6	  18.6
   72 	 1323582.2  	  20.4	  18.5
   73 	 1300500.6  	  20.2	  18.3
   74 	 1277993.8  	  20.1	  18.1
   75 	 1256091.1  	  19.9	  18.0
   76 	 1234756.4  	  19.7	  17.8
   77 	 1213941.8  	  19.5	  17.7
   78 	 1193624.0  	  19.3	  17.5
   79 	 1173793.8  	  19.2	  17.4
   80 	 1154440.1  	  19.0	  17.2
   81 	 1135586.6  	  18.8	  17.1
   82 	 1117176.9  	  18.7	  16.9
   83 	 1099178.2  	  18.5	  16.8
   84 	 1081581.4  	  18.4	  16.7
   85 	 1064378.1  	  18.2	  16.5
