Epoch	 Loss	 AccuracyTrain	 AccuracyVal
    0 	 164155984.0 	 2519.4	 616.8
    1 	 158130848.0 	 2475.1	 592.5
    2 	 152270000.0 	 2431.1	 568.5
    3 	 146573392.0 	 2387.5	 544.7
    4 	 141040336.0 	 2344.2	 521.3
    5 	 135670144.0 	 2301.2	 498.2
    6 	 130461800.0 	 2258.6	 475.5
    7 	 125413904.0 	 2216.5	 453.4
    8 	 120524912.0 	 2174.7	 431.0
    9 	 115792944.0 	 2133.4	 408.9
   10 	 111215928.0 	 2092.6	 387.4
   11 	 106791536.0 	 2052.2	 366.3
   12 	 102517216.0 	 2012.3	 345.7
   13 	 98390232.0 	 1972.9	 325.5
   14 	 94409704.0 	 1934.1	 305.7
   15 	 90572712.0 	 1895.8	 286.3
   16 	 86874840.0 	 1858.0	 267.2
   17 	 83312504.0 	 1820.8	 248.4
   18 	 79879224.0 	 1784.1	 230.1
   19 	 76573368.0 	 1747.9	 211.8
   20 	 73394000.0 	 1712.2	 193.7
   21 	 70336704.0 	 1677.0	 175.9
   22 	 67400272.0 	 1642.5	 158.5
   23 	 64578180.0 	 1608.6	 141.4
   24 	 61867068.0 	 1575.1	 124.5
   25 	 59263424.0 	 1542.2	 108.0
   26 	 56763880.0 	 1509.8	  91.7
   27 	 54365020.0 	 1477.9	  75.6
   28 	 52063100.0 	 1446.6	  59.8
   29 	 49854956.0 	 1415.7	  44.2
   30 	 47737648.0 	 1385.4	  28.7
   31 	 45708092.0 	 1355.6	  13.4
   32 	 43763140.0 	 1326.3	   1.6
   33 	 41899740.0 	 1297.5	  10.7
   34 	 40115076.0 	 1269.2	  25.4
   35 	 38407616.0 	 1241.5	  39.8
   36 	 36774228.0 	 1214.3	  54.1
   37 	 35210724.0 	 1187.5	  68.1
   38 	 33714436.0 	 1161.3	  81.9
   39 	 32282778.0 	 1135.6	  95.6
   40 	 30913248.0 	 1110.3	 109.1
   41 	 29603398.0 	 1085.5	 122.5
   42 	 28350848.0 	 1061.2	 135.8
   43 	 27153268.0 	 1037.3	 148.9
   44 	 26008490.0 	 1013.9	 161.9
   45 	 24914396.0 	 990.9	 174.8
   46 	 23868962.0 	 968.4	 187.5
   47 	 22870176.0 	 946.9	 200.2
   48 	 21916054.0 	 926.1	 212.8
   49 	 21004672.0 	 908.7	 225.2
   50 	 20134400.0 	 892.2	 237.6
   51 	 19303572.0 	 876.0	 249.9
   52 	 18510558.0 	 860.1	 262.1
   53 	 17753828.0 	 844.5	 274.2
   54 	 17031832.0 	 829.1	 286.2
   55 	 16343126.0 	 814.0	 298.2
   56 	 15686460.0 	 799.7	 310.1
   57 	 15060212.0 	 786.2	 321.9
   58 	 14463145.0 	 773.0	 333.6
   59 	 13893989.0 	 760.1	 345.2
   60 	 13351554.0 	 747.3	 356.8
   61 	 12834838.0 	 734.8	 368.3
   62 	 12342710.0 	 722.4	 379.7
   63 	 11874270.0 	 710.3	 391.0
   64 	 11428521.0 	 699.3	 402.3
   65 	 11003154.0 	 689.0	 413.5
   66 	 10598115.0 	 679.5	 424.8
   67 	 10212594.0 	 670.3	 436.1
   68 	 9845695.0  	 661.2	 447.4
   69 	 9496609.0  	 652.3	 458.6
   70 	 9164567.0  	 643.5	 469.9
   71 	 8848830.0  	 634.9	 481.1
   72 	 8548656.0  	 626.5	 492.3
   73 	 8261809.0  	 618.2	 503.4
   74 	 7985740.0  	 609.9	 514.5
   75 	 7722624.0  	 601.7	 525.4
   76 	 7472400.0  	 593.7	 536.3
   77 	 7234494.0  	 585.8	 547.1
   78 	 7008495.0  	 578.1	 557.8
   79 	 6793930.5  	 570.5	 568.3
   80 	 6590340.5  	 563.1	 578.8
   81 	 6397239.5  	 555.8	 589.1
   82 	 6214200.5  	 548.7	 599.3
   83 	 6040734.5  	 541.7	 609.4
   84 	 5876340.5  	 534.9	 619.3
   85 	 5720549.0  	 528.2	 629.1
   86 	 5572898.5  	 521.7	 638.8
   87 	 5432940.0  	 515.3	 648.2
   88 	 5300260.0  	 509.1	 657.6
   89 	 5174474.0  	 503.0	 666.8
   90 	 5055159.5  	 497.1	 675.8
   91 	 4941931.5  	 491.3	 684.7
   92 	 4834418.5  	 485.6	 693.4
   93 	 4732272.5  	 480.1	 702.0
   94 	 4635170.5  	 474.8	 710.4
   95 	 4542779.5  	 469.6	 718.6
   96 	 4454806.0  	 464.5	 726.8
   97 	 4370947.0  	 459.5	 734.7
   98 	 4290949.5  	 454.7	 742.6
   99 	 4214553.0  	 450.0	 750.2
  100 	 4141515.5  	 445.5	 757.8
  101 	 4071608.5  	 441.0	 765.2
  102 	 4004618.2  	 436.7	 772.4
  103 	 3940354.2  	 432.5	 779.5
  104 	 3878595.5  	 428.4	 786.5
  105 	 3819181.5  	 424.4	 793.4
  106 	 3761965.0  	 420.6	 800.1
  107 	 3706795.5  	 416.8	 806.6
  108 	 3653523.5  	 413.1	 813.1
  109 	 3602046.0  	 409.6	 819.4
  110 	 3552227.8  	 406.1	 825.6
  111 	 3503862.0  	 402.7	 831.7
  112 	 3456846.2  	 399.3	 837.6
  113 	 3411170.0  	 396.0	 843.4
  114 	 3366764.2  	 392.8	 849.1
  115 	 3323574.8  	 389.7	 854.7
  116 	 3281539.8  	 386.6	 860.2
  117 	 3240581.5  	 383.6	 865.6
  118 	 3200640.2  	 380.7	 870.9
  119 	 3161661.2  	 377.8	 876.0
  120 	 3123597.0  	 375.0	 881.1
  121 	 3086396.8  	 372.3	 886.0
  122 	 3050016.2  	 369.7	 890.9
  123 	 3014408.8  	 367.4	 895.6
  124 	 2979489.8  	 365.4	 900.3
  125 	 2945273.0  	 363.7	 904.9
  126 	 2911756.8  	 362.1	 909.4
  127 	 2878881.5  	 360.4	 913.8
  128 	 2846616.5  	 358.7	 918.1
  129 	 2814931.8  	 356.9	 922.4
  130 	 2783803.8  	 355.2	 926.5
  131 	 2753203.2  	 353.4	 930.6
  132 	 2723109.5  	 351.7	 934.6
  133 	 2693486.5  	 349.9	 938.5
  134 	 2664333.8  	 348.1	 942.4
  135 	 2635638.8  	 346.3	 946.2
  136 	 2607379.8  	 344.5	 949.9
  137 	 2579547.2  	 342.7	 953.5
  138 	 2552123.0  	 340.9	 957.1
  139 	 2525092.5  	 339.1	 960.6
  140 	 2498450.8  	 337.3	 964.1
  141 	 2472189.0  	 335.5	 967.5
  142 	 2446295.2  	 333.7	 970.8
  143 	 2420765.2  	 331.9	 974.1
  144 	 2395593.2  	 330.1	 977.2
  145 	 2370770.5  	 328.4	 980.4
  146 	 2346280.0  	 326.6	 983.4
  147 	 2322120.8  	 324.8	 986.4
  148 	 2298283.2  	 323.0	 989.4
  149 	 2274760.8  	 321.3	 992.2
  150 	 2251545.2  	 319.5	 995.0
  151 	 2228633.2  	 317.8	 997.8
  152 	 2206015.2  	 316.1	 1000.5
  153 	 2183687.2  	 314.6	 1003.1
  154 	 2161646.2  	 313.1	 1005.7
  155 	 2139873.8  	 311.5	 1008.2
  156 	 2118380.2  	 309.8	 1010.6
  157 	 2097168.8  	 308.1	 1013.1
  158 	 2076270.2  	 306.6	 1015.4
  159 	 2055732.8  	 305.2	 1017.7
  160 	 2035431.1  	 303.7	 1019.8
  161 	 2015360.9  	 302.3	 1021.9
  162 	 1995522.1  	 300.8	 1023.9
  163 	 1975911.0  	 299.4	 1025.8
  164 	 1956528.4  	 298.0	 1027.6
  165 	 1937366.6  	 296.5	 1029.3
  166 	 1918425.5  	 295.1	 1030.9
  167 	 1899698.0  	 293.7	 1032.5
  168 	 1881181.8  	 292.3	 1034.0
  169 	 1862878.8  	 290.9	 1035.5
  170 	 1844824.1  	 289.5	 1036.8
  171 	 1826965.4  	 288.2	 1038.2
  172 	 1809300.0  	 286.8	 1039.4
  173 	 1791832.8  	 285.5	 1040.7
  174 	 1774556.8  	 284.1	 1041.8
  175 	 1757471.4  	 282.8	 1043.0
  176 	 1740573.1  	 281.4	 1044.0
  177 	 1723858.8  	 280.1	 1045.1
  178 	 1707322.0  	 278.8	 1046.0
  179 	 1690975.2  	 277.5	 1047.0
  180 	 1674832.9  	 276.2	 1048.0
  181 	 1658851.1  	 274.9	 1048.9
  182 	 1643028.8  	 273.6	 1049.9
  183 	 1627372.2  	 272.3	 1050.9
  184 	 1611880.5  	 271.0	 1051.9
  185 	 1596546.5  	 269.8	 1052.9
  186 	 1581408.2  	 268.5	 1053.9
  187 	 1566432.1  	 267.3	 1054.8
  188 	 1551609.2  	 266.1	 1055.7
  189 	 1536936.8  	 264.8	 1056.5
  190 	 1522438.9  	 263.6	 1057.3
  191 	 1508125.6  	 262.4	 1058.0
  192 	 1493956.2  	 261.2	 1058.7
  193 	 1479929.9  	 260.0	 1059.3
  194 	 1466046.4  	 258.8	 1059.9
  195 	 1452303.5  	 257.7	 1060.5
  196 	 1438698.2  	 256.5	 1061.0
  197 	 1425229.6  	 255.3	 1061.5
  198 	 1411919.8  	 254.1	 1061.9
  199 	 1398736.0  	 253.0	 1062.4
  200 	 1385675.2  	 251.8	 1062.9
  201 	 1372736.0  	 250.7	 1063.4
  202 	 1359917.2  	 249.5	 1063.9
  203 	 1347245.6  	 248.4	 1064.4
  204 	 1334696.8  	 247.3	 1064.9
  205 	 1322268.2  	 246.2	 1065.3
  206 	 1309962.8  	 245.1	 1065.7
  207 	 1297774.2  	 244.0	 1066.0
  208 	 1285709.6  	 242.9	 1066.3
  209 	 1273760.2  	 241.8	 1066.6
  210 	 1261938.1  	 240.7	 1066.9
  211 	 1250221.0  	 239.7	 1067.1
  212 	 1238609.4  	 238.6	 1067.4
  213 	 1227114.8  	 237.5	 1067.8
  214 	 1215734.0  	 236.4	 1068.0
  215 	 1204459.8  	 235.4	 1068.3
  216 	 1193293.9  	 234.3	 1068.5
  217 	 1182230.0  	 233.3	 1068.7
  218 	 1171271.5  	 232.2	 1068.9
  219 	 1160415.5  	 231.2	 1069.0
  220 	 1149660.4  	 230.1	 1069.1
  221 	 1139004.9  	 229.1	 1069.2
  222 	 1128458.1  	 228.1	 1069.3
  223 	 1118004.4  	 227.0	 1069.4
  224 	 1107641.4  	 226.0	 1069.5
  225 	 1097380.0  	 225.0	 1069.6
  226 	 1087216.6  	 224.0	 1069.7
  227 	 1077145.6  	 223.0	 1069.8
  228 	 1067166.5  	 221.9	 1069.9
  229 	 1057278.1  	 220.9	 1069.9
  230 	 1047479.2  	 219.9	 1069.9
  231 	 1037770.6  	 218.9	 1069.9
  232 	 1028148.4  	 217.9	 1069.8
  233 	 1018615.2  	 216.9	 1069.8
  234 	 1009168.0  	 215.9	 1069.7
  235 	 999811.6   	 214.9	 1069.6
  236 	 990539.4   	 213.9	 1069.5
  237 	 981345.3   	 212.9	 1069.4
  238 	 972240.2   	 211.9	 1069.3
  239 	 963217.1   	 210.9	 1069.2
  240 	 954274.3   	 209.9	 1069.1
  241 	 945411.5   	 208.9	 1069.0
  242 	 936630.6   	 208.0	 1068.8
  243 	 927926.8   	 207.1	 1068.7
  244 	 919301.9   	 206.1	 1068.6
  245 	 910754.7   	 205.2	 1068.4
  246 	 902282.2   	 204.3	 1068.2
  247 	 893889.9   	 203.3	 1068.0
  248 	 885570.3   	 202.4	 1067.9
  249 	 877327.1   	 201.5	 1067.7
  250 	 869156.9   	 200.6	 1067.5
  251 	 861059.2   	 199.7	 1067.3
  252 	 853027.4   	 198.7	 1067.1
  253 	 845047.2   	 197.8	 1066.8
  254 	 837129.2   	 196.9	 1066.6
  255 	 829280.9   	 196.0	 1066.4
  256 	 821499.8   	 195.1	 1066.2
  257 	 813795.3   	 194.1	 1066.0
  258 	 806161.4   	 193.2	 1065.7
  259 	 798594.4   	 192.3	 1065.5
  260 	 791091.8   	 191.4	 1065.3
  261 	 783654.8   	 190.5	 1065.0
  262 	 776280.9   	 189.6	 1064.7
  263 	 768971.5   	 188.7	 1064.5
  264 	 761724.8   	 187.8	 1064.2
  265 	 754467.7   	 186.9	 1063.9
  266 	 747091.7   	 186.0	 1063.6
  267 	 739735.0   	 185.0	 1063.3
  268 	 732405.1   	 184.1	 1063.0
  269 	 725112.5   	 183.2	 1062.7
  270 	 717861.9   	 182.2	 1062.4
  271 	 710657.9   	 181.3	 1062.1
  272 	 702639.2   	 180.3	 1061.8
  273 	 694603.4   	 179.3	 1061.4
  274 	 686612.8   	 178.2	 1060.4
