Epoch	 Loss	 AccuracyTrain	 AccuracyVal
    0 	 14087.0    	   2.8	   2.7
    1 	 14074.5    	   2.8	   2.7
    2 	 14062.6    	   2.8	   2.7
    3 	 14051.4    	   2.8	   2.7
    4 	 14041.0    	   2.8	   2.7
    5 	 14031.1    	   2.8	   2.7
    6 	 14021.7    	   2.8	   2.7
    7 	 14012.7    	   2.8	   2.7
    8 	 14004.3    	   2.8	   2.7
    9 	 13996.3    	   2.8	   2.7
   10 	 13988.6    	   2.8	   2.7
   11 	 13981.2    	   2.8	   2.7
   12 	 13974.0    	   2.8	   2.7
   13 	 13967.2    	   2.8	   2.7
   14 	 13960.5    	   2.8	   2.7
   15 	 13954.0    	   2.8	   2.7
   16 	 13947.7    	   2.8	   2.7
   17 	 13941.6    	   2.8	   2.7
   18 	 13935.2    	   2.8	   2.7
   19 	 13928.8    	   2.8	   2.7
   20 	 13922.6    	   2.8	   2.7
   21 	 13916.2    	   2.8	   2.7
   22 	 13910.0    	   2.8	   2.7
   23 	 13903.8    	   2.8	   2.7
   24 	 13897.9    	   2.8	   2.7
   25 	 13892.0    	   2.8	   2.7
   26 	 13886.1    	   2.8	   2.7
   27 	 13880.2    	   2.8	   2.7
   28 	 13874.5    	   2.8	   2.7
   29 	 13868.9    	   2.8	   2.7
   30 	 13863.4    	   2.8	   2.7
   31 	 13858.0    	   2.8	   2.7
   32 	 13852.8    	   2.7	   2.7
   33 	 13847.7    	   2.7	   2.7
   34 	 13842.7    	   2.7	   2.7
   35 	 13837.8    	   2.7	   2.7
   36 	 13832.9    	   2.7	   2.7
   37 	 13828.2    	   2.7	   2.7
   38 	 13823.5    	   2.7	   2.7
   39 	 13819.0    	   2.7	   2.7
   40 	 13814.6    	   2.7	   2.7
   41 	 13810.2    	   2.7	   2.7
   42 	 13805.9    	   2.7	   2.7
   43 	 13801.7    	   2.7	   2.7
   44 	 13797.6    	   2.7	   2.7
   45 	 13793.5    	   2.7	   2.7
   46 	 13789.4    	   2.7	   2.7
   47 	 13785.5    	   2.7	   2.7
   48 	 13781.6    	   2.7	   2.7
   49 	 13777.7    	   2.7	   2.7
   50 	 13773.9    	   2.7	   2.7
   51 	 13770.1    	   2.7	   2.7
   52 	 13766.4    	   2.7	   2.7
   53 	 13762.7    	   2.7	   2.7
   54 	 13759.0    	   2.7	   2.7
   55 	 13755.3    	   2.7	   2.7
   56 	 13751.6    	   2.7	   2.7
   57 	 13747.8    	   2.7	   2.7
   58 	 13744.0    	   2.7	   2.7
   59 	 13740.2    	   2.7	   2.7
   60 	 13736.6    	   2.7	   2.7
   61 	 13733.0    	   2.7	   2.7
   62 	 13729.5    	   2.7	   2.7
   63 	 13726.0    	   2.7	   2.7
   64 	 13722.4    	   2.7	   2.7
   65 	 13719.0    	   2.7	   2.7
   66 	 13715.5    	   2.7	   2.7
   67 	 13712.1    	   2.7	   2.7
   68 	 13708.4    	   2.7	   2.7
   69 	 13704.6    	   2.7	   2.7
   70 	 13700.8    	   2.7	   2.7
   71 	 13697.0    	   2.7	   2.7
   72 	 13693.3    	   2.7	   2.7
   73 	 13688.8    	   2.7	   2.7
   74 	 13684.3    	   2.7	   2.7
   75 	 13680.3    	   2.7	   2.7
   76 	 13676.5    	   2.7	   2.7
   77 	 13672.7    	   2.7	   2.7
   78 	 13668.7    	   2.7	   2.7
   79 	 13664.9    	   2.7	   2.7
   80 	 13661.2    	   2.7	   2.7
   81 	 13657.6    	   2.7	   2.7
   82 	 13654.1    	   2.7	   2.7
   83 	 13650.5    	   2.7	   2.7
   84 	 13647.1    	   2.7	   2.7
   85 	 13643.7    	   2.7	   2.7
   86 	 13640.5    	   2.7	   2.7
   87 	 13637.3    	   2.7	   2.7
   88 	 13634.1    	   2.7	   2.7
   89 	 13630.9    	   2.7	   2.7
   90 	 13627.7    	   2.7	   2.7
   91 	 13624.6    	   2.7	   2.7
   92 	 13621.5    	   2.7	   2.7
   93 	 13618.4    	   2.7	   2.7
   94 	 13615.4    	   2.7	   2.7
   95 	 13612.3    	   2.7	   2.7
   96 	 13609.2    	   2.7	   2.7
   97 	 13606.1    	   2.7	   2.7
   98 	 13603.1    	   2.7	   2.7
   99 	 13600.0    	   2.7	   2.7
  100 	 13597.0    	   2.7	   2.7
  101 	 13593.9    	   2.7	   2.7
  102 	 13591.0    	   2.7	   2.7
  103 	 13588.1    	   2.7	   2.7
  104 	 13585.2    	   2.7	   2.7
  105 	 13582.4    	   2.7	   2.7
  106 	 13579.5    	   2.7	   2.7
  107 	 13576.7    	   2.7	   2.7
  108 	 13574.0    	   2.7	   2.7
  109 	 13571.2    	   2.7	   2.7
  110 	 13568.5    	   2.7	   2.7
  111 	 13565.8    	   2.7	   2.7
  112 	 13563.1    	   2.7	   2.7
  113 	 13560.5    	   2.7	   2.7
  114 	 13557.9    	   2.7	   2.7
  115 	 13555.3    	   2.7	   2.7
  116 	 13552.7    	   2.7	   2.7
  117 	 13550.1    	   2.7	   2.7
  118 	 13547.6    	   2.7	   2.7
  119 	 13545.0    	   2.7	   2.7
  120 	 13542.5    	   2.7	   2.7
  121 	 13540.0    	   2.7	   2.7
  122 	 13537.5    	   2.7	   2.7
  123 	 13535.0    	   2.7	   2.7
  124 	 13532.5    	   2.7	   2.7
  125 	 13530.0    	   2.7	   2.7
  126 	 13527.5    	   2.7	   2.7
  127 	 13525.0    	   2.7	   2.7
  128 	 13522.6    	   2.7	   2.7
  129 	 13520.1    	   2.7	   2.7
  130 	 13517.6    	   2.7	   2.7
  131 	 13515.2    	   2.7	   2.7
  132 	 13512.7    	   2.7	   2.7
  133 	 13510.3    	   2.7	   2.7
  134 	 13507.9    	   2.7	   2.7
  135 	 13505.5    	   2.7	   2.7
  136 	 13503.2    	   2.7	   2.7
  137 	 13500.8    	   2.7	   2.7
  138 	 13498.5    	   2.7	   2.7
  139 	 13496.1    	   2.7	   2.7
  140 	 13493.7    	   2.7	   2.7
  141 	 13491.4    	   2.7	   2.7
  142 	 13489.1    	   2.7	   2.7
  143 	 13486.8    	   2.7	   2.7
  144 	 13484.5    	   2.7	   2.7
  145 	 13482.2    	   2.7	   2.7
  146 	 13480.0    	   2.7	   2.7
  147 	 13477.7    	   2.7	   2.7
  148 	 13475.5    	   2.7	   2.7
  149 	 13473.2    	   2.7	   2.7
  150 	 13471.0    	   2.7	   2.7
  151 	 13468.8    	   2.7	   2.7
  152 	 13466.7    	   2.7	   2.7
  153 	 13464.5    	   2.7	   2.7
  154 	 13462.3    	   2.7	   2.7
  155 	 13460.1    	   2.7	   2.7
  156 	 13458.0    	   2.7	   2.7
  157 	 13455.8    	   2.7	   2.7
  158 	 13453.7    	   2.7	   2.7
  159 	 13451.6    	   2.7	   2.7
  160 	 13449.4    	   2.7	   2.7
  161 	 13447.3    	   2.7	   2.7
  162 	 13445.2    	   2.7	   2.7
  163 	 13443.1    	   2.7	   2.7
  164 	 13441.1    	   2.7	   2.7
  165 	 13439.0    	   2.7	   2.7
  166 	 13436.9    	   2.7	   2.7
  167 	 13434.9    	   2.7	   2.7
  168 	 13432.8    	   2.7	   2.7
  169 	 13430.8    	   2.7	   2.7
  170 	 13428.8    	   2.7	   2.7
  171 	 13426.8    	   2.7	   2.7
  172 	 13424.8    	   2.7	   2.7
  173 	 13422.8    	   2.7	   2.7
  174 	 13420.7    	   2.7	   2.7
  175 	 13418.7    	   2.7	   2.7
  176 	 13416.7    	   2.7	   2.7
  177 	 13414.4    	   2.7	   2.7
  178 	 13412.0    	   2.7	   2.7
  179 	 13409.7    	   2.7	   2.7
  180 	 13407.4    	   2.7	   2.7
  181 	 13405.1    	   2.7	   2.7
  182 	 13402.8    	   2.7	   2.7
  183 	 13400.6    	   2.7	   2.7
  184 	 13398.3    	   2.7	   2.7
  185 	 13396.1    	   2.7	   2.7
  186 	 13393.9    	   2.7	   2.7
  187 	 13391.7    	   2.7	   2.7
  188 	 13389.5    	   2.7	   2.7
  189 	 13387.3    	   2.7	   2.7
  190 	 13385.1    	   2.7	   2.7
  191 	 13383.0    	   2.7	   2.7
  192 	 13380.9    	   2.7	   2.7
  193 	 13378.7    	   2.7	   2.7
  194 	 13376.6    	   2.7	   2.7
  195 	 13374.5    	   2.7	   2.7
  196 	 13372.0    	   2.7	   2.7
  197 	 13369.5    	   2.7	   2.7
  198 	 13367.2    	   2.7	   2.7
  199 	 13365.0    	   2.7	   2.7
  200 	 13362.9    	   2.7	   2.7
  201 	 13360.7    	   2.7	   2.7
  202 	 13358.4    	   2.7	   2.7
  203 	 13356.2    	   2.7	   2.7
  204 	 13354.1    	   2.7	   2.7
  205 	 13352.0    	   2.7	   2.7
  206 	 13350.0    	   2.7	   2.7
  207 	 13347.9    	   2.7	   2.7
  208 	 13345.8    	   2.7	   2.7
  209 	 13343.7    	   2.7	   2.7
  210 	 13341.7    	   2.7	   2.7
  211 	 13339.6    	   2.7	   2.7
  212 	 13337.6    	   2.7	   2.7
  213 	 13335.6    	   2.7	   2.7
  214 	 13333.6    	   2.7	   2.7
  215 	 13331.6    	   2.6	   2.7
  216 	 13329.7    	   2.6	   2.7
  217 	 13327.7    	   2.6	   2.7
