Epoch	 Loss	 AccuracyTrain	 AccuracyVal
    0 	 578230848.0 	 5192.6	 4574.4
    1 	 561006656.0 	 5112.9	 4528.3
    2 	 544224960.0 	 5034.1	 4482.6
    3 	 527886112.0 	 4956.2	 4437.7
    4 	 511988320.0 	 4879.3	 4393.7
    5 	 496529984.0 	 4803.4	 4350.3
    6 	 481506528.0 	 4728.6	 4306.3
    7 	 466918560.0 	 4654.8	 4262.8
    8 	 452752064.0 	 4582.1	 4219.9
    9 	 439071040.0 	 4510.8	 4177.6
   10 	 425864288.0 	 4440.9	 4136.1
   11 	 413052128.0 	 4372.0	 4095.4
   12 	 400629344.0 	 4304.3	 4055.5
   13 	 388587584.0 	 4237.8	 4016.3
   14 	 376918464.0 	 4172.4	 3977.9
   15 	 365614144.0 	 4108.1	 3940.3
   16 	 354670368.0 	 4044.9	 3903.4
   17 	 344076576.0 	 3982.9	 3867.1
   18 	 333827488.0 	 3922.2	 3831.5
   19 	 323908896.0 	 3862.5	 3796.6
   20 	 314311744.0 	 3804.0	 3762.6
   21 	 305027008.0 	 3746.6	 3729.3
   22 	 296046176.0 	 3690.2	 3696.8
   23 	 287360192.0 	 3635.0	 3665.2
   24 	 278960096.0 	 3580.9	 3634.2
   25 	 270836672.0 	 3527.8	 3604.1
   26 	 262981824.0 	 3475.7	 3574.7
   27 	 255386112.0 	 3424.7	 3546.0
   28 	 248042336.0 	 3374.7	 3517.9
   29 	 240942960.0 	 3325.7	 3490.6
   30 	 234079120.0 	 3277.7	 3464.0
   31 	 227443024.0 	 3230.7	 3438.1
   32 	 221023760.0 	 3184.5	 3412.7
   33 	 214814528.0 	 3139.4	 3388.0
   34 	 208809392.0 	 3095.1	 3363.9
   35 	 203002000.0 	 3051.7	 3340.4
   36 	 197385216.0 	 3009.2	 3317.4
   37 	 191952592.0 	 2967.5	 3295.0
   38 	 186697440.0 	 2926.7	 3272.9
   39 	 181613264.0 	 2886.7	 3251.3
   40 	 176694736.0 	 2847.5	 3230.2
   41 	 171935328.0 	 2809.0	 3209.5
   42 	 167329712.0 	 2771.4	 3189.2
   43 	 162871856.0 	 2734.4	 3169.4
   44 	 158556592.0 	 2698.2	 3149.9
   45 	 154378496.0 	 2662.7	 3130.9
   46 	 150333040.0 	 2627.9	 3112.2
   47 	 146415920.0 	 2593.7	 3093.8
   48 	 142623840.0 	 2560.3	 3075.8
   49 	 138949888.0 	 2527.5	 3058.2
   50 	 135389712.0 	 2495.3	 3040.8
   51 	 131939776.0 	 2463.7	 3023.8
   52 	 128595536.0 	 2432.6	 3007.0
   53 	 125353096.0 	 2402.2	 2990.5
   54 	 122208704.0 	 2372.3	 2974.3
   55 	 119158904.0 	 2342.9	 2958.3
   56 	 116200120.0 	 2314.1	 2942.8
   57 	 113329192.0 	 2285.8	 2927.8
   58 	 110541688.0 	 2257.9	 2913.0
   59 	 107835416.0 	 2230.5	 2898.4
   60 	 105207776.0 	 2203.6	 2884.0
   61 	 102655496.0 	 2177.1	 2869.9
   62 	 100176352.0 	 2151.0	 2856.0
   63 	 97767856.0 	 2125.4	 2842.3
   64 	 95427496.0 	 2100.2	 2828.9
   65 	 93153088.0 	 2075.5	 2815.6
   66 	 90942304.0 	 2051.1	 2802.6
   67 	 88793008.0 	 2027.1	 2789.7
   68 	 86703096.0 	 2003.5	 2777.0
   69 	 84669592.0 	 1980.2	 2764.4
   70 	 82691568.0 	 1957.3	 2752.0
   71 	 80767256.0 	 1934.8	 2739.8
   72 	 78894832.0 	 1912.6	 2727.7
   73 	 77072704.0 	 1890.8	 2715.7
   74 	 75298928.0 	 1869.2	 2703.9
   75 	 73572112.0 	 1848.0	 2692.2
   76 	 71890976.0 	 1827.1	 2680.6
   77 	 70254120.0 	 1806.6	 2669.2
   78 	 68659984.0 	 1786.3	 2657.8
   79 	 67107264.0 	 1766.3	 2646.6
   80 	 65594676.0 	 1746.6	 2635.5
   81 	 64121008.0 	 1727.2	 2624.5
   82 	 62685160.0 	 1708.1	 2613.6
   83 	 61285932.0 	 1689.3	 2602.8
   84 	 59922252.0 	 1670.7	 2592.1
   85 	 58592856.0 	 1652.3	 2581.6
   86 	 57296848.0 	 1634.4	 2571.1
   87 	 56033216.0 	 1617.0	 2560.8
   88 	 54801068.0 	 1599.6	 2550.5
   89 	 53599116.0 	 1582.8	 2540.3
   90 	 52426700.0 	 1566.3	 2530.2
   91 	 51283168.0 	 1549.9	 2520.1
   92 	 50167700.0 	 1533.8	 2510.2
   93 	 49079324.0 	 1517.9	 2500.3
   94 	 48017368.0 	 1502.2	 2490.4
   95 	 46981312.0 	 1486.7	 2480.6
   96 	 45970332.0 	 1471.4	 2470.9
   97 	 44983744.0 	 1456.3	 2461.2
   98 	 44020784.0 	 1441.4	 2451.5
   99 	 43080896.0 	 1426.7	 2441.9
  100 	 42163628.0 	 1412.2	 2432.4
  101 	 41268260.0 	 1397.8	 2422.9
  102 	 40394184.0 	 1383.6	 2413.5
  103 	 39540848.0 	 1369.6	 2404.1
  104 	 38707628.0 	 1355.8	 2394.8
  105 	 37894044.0 	 1342.2	 2385.5
  106 	 37099584.0 	 1328.7	 2376.3
  107 	 36323740.0 	 1315.4	 2367.0
  108 	 35566172.0 	 1302.2	 2357.8
  109 	 34826292.0 	 1289.2	 2348.7
  110 	 34103700.0 	 1276.4	 2339.6
  111 	 33397764.0 	 1263.7	 2330.5
  112 	 32708226.0 	 1251.2	 2321.5
  113 	 32034604.0 	 1238.8	 2312.5
  114 	 31376530.0 	 1226.6	 2303.5
  115 	 30733624.0 	 1214.5	 2294.5
  116 	 30105496.0 	 1202.5	 2285.6
  117 	 29491740.0 	 1190.7	 2276.7
  118 	 28892060.0 	 1179.1	 2267.8
  119 	 28306076.0 	 1167.5	 2258.9
  120 	 27733462.0 	 1156.1	 2250.0
  121 	 27173896.0 	 1144.9	 2241.1
  122 	 26627040.0 	 1133.7	 2232.3
  123 	 26092604.0 	 1122.8	 2223.4
  124 	 25570252.0 	 1111.9	 2214.6
  125 	 25059650.0 	 1101.1	 2205.8
  126 	 24560476.0 	 1090.5	 2197.0
  127 	 24072336.0 	 1080.0	 2188.2
  128 	 23595094.0 	 1069.6	 2179.4
  129 	 23128504.0 	 1059.3	 2170.7
  130 	 22672346.0 	 1049.2	 2161.9
  131 	 22226378.0 	 1039.1	 2153.1
  132 	 21790338.0 	 1029.2	 2144.4
  133 	 21363940.0 	 1019.4	 2135.6
  134 	 20946990.0 	 1009.7	 2126.9
  135 	 20539310.0 	 1000.1	 2118.1
  136 	 20140694.0 	 990.6	 2109.4
  137 	 19750886.0 	 981.2	 2100.7
  138 	 19369710.0 	 972.0	 2092.0
  139 	 18996886.0 	 962.8	 2083.3
  140 	 18632252.0 	 953.7	 2074.5
  141 	 18275596.0 	 944.8	 2065.8
  142 	 17926780.0 	 935.9	 2057.1
  143 	 17585544.0 	 927.2	 2048.5
  144 	 17251754.0 	 918.6	 2039.8
  145 	 16925202.0 	 910.0	 2031.1
  146 	 16605756.0 	 901.6	 2022.4
  147 	 16293187.0 	 893.2	 2013.8
  148 	 15987389.0 	 884.9	 2005.1
  149 	 15688186.0 	 876.8	 1996.5
  150 	 15395416.0 	 868.7	 1987.8
  151 	 15108932.0 	 860.7	 1979.2
  152 	 14828557.0 	 852.8	 1970.6
  153 	 14554178.0 	 845.0	 1962.0
  154 	 14285676.0 	 837.3	 1953.4
  155 	 14022857.0 	 829.7	 1944.8
  156 	 13765656.0 	 822.2	 1936.2
  157 	 13513917.0 	 814.7	 1927.7
  158 	 13267518.0 	 807.3	 1919.1
  159 	 13026363.0 	 800.1	 1910.6
  160 	 12790280.0 	 792.9	 1902.1
  161 	 12559184.0 	 785.7	 1893.6
  162 	 12332944.0 	 778.7	 1885.1
  163 	 12111642.0 	 771.7	 1876.7
  164 	 11895796.0 	 764.9	 1868.2
  165 	 11684509.0 	 758.1	 1859.8
  166 	 11477619.0 	 751.4	 1851.3
  167 	 11275010.0 	 744.8	 1842.9
  168 	 11076603.0 	 738.2	 1834.5
  169 	 10882285.0 	 731.7	 1826.0
  170 	 10691982.0 	 725.3	 1817.6
  171 	 10505617.0 	 719.0	 1809.2
  172 	 10323064.0 	 712.7	 1800.8
  173 	 10144280.0 	 706.5	 1792.4
  174 	 9969146.0  	 700.4	 1784.0
  175 	 9797646.0  	 694.3	 1775.6
  176 	 9629684.0  	 688.3	 1767.3
  177 	 9465144.0  	 682.4	 1759.0
  178 	 9303950.0  	 676.5	 1750.8
  179 	 9146022.0  	 670.7	 1742.6
  180 	 8991311.0  	 665.0	 1734.4
  181 	 8839752.0  	 659.3	 1726.3
  182 	 8691259.0  	 653.7	 1718.2
  183 	 8545796.0  	 648.2	 1710.1
  184 	 8403377.0  	 642.7	 1702.1
  185 	 8263846.5  	 637.3	 1694.1
  186 	 8127157.5  	 632.0	 1686.1
  187 	 7993257.5  	 626.7	 1678.2
  188 	 7862070.0  	 621.4	 1670.3
  189 	 7733525.0  	 616.3	 1662.4
  190 	 7607549.0  	 611.1	 1654.5
  191 	 7484102.5  	 606.1	 1646.6
  192 	 7363113.5  	 601.1	 1638.8
  193 	 7244568.5  	 596.1	 1631.0
  194 	 7128401.5  	 591.2	 1623.2
  195 	 7014541.5  	 586.4	 1615.5
  196 	 6902977.5  	 581.6	 1607.8
  197 	 6793621.0  	 576.8	 1600.2
  198 	 6686441.0  	 572.2	 1592.6
  199 	 6581368.5  	 567.5	 1585.1
  200 	 6478402.0  	 562.9	 1577.6
  201 	 6377465.5  	 558.4	 1570.1
  202 	 6278538.5  	 553.9	 1562.6
  203 	 6181600.5  	 549.4	 1555.2
  204 	 6086563.5  	 545.1	 1547.8
  205 	 5993398.5  	 540.7	 1540.4
